year,scene_id,satellite,utc_date,utc_time,image_relative_path,mask_relative_path,image_bytes,mask_bytes,width,height,layer_count,dtype,compression,pixel_size_x_deg,pixel_size_y_deg,upper_left_x,upper_left_y,epsg,mask_width,mask_height,mask_mode,mask_unique_values,pair_status,image_sha256,mask_sha256
2020,NC_H08_20200121_0000_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0000,2020_new_clip/NC_H08_20200121_0000_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0000_R21_FLDK.06001_06001_clipped_mask.png,11644586,988,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,c5935a3824577e98b79f05c9380fb482fa6e0c51ecca717dbfc35da7c0a2eae6,e1c61a3f7762ce7b23d8c407476dfe775471197af63ab486a19915b4d3974a61
2020,NC_H08_20200121_0030_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0030,2020_new_clip/NC_H08_20200121_0030_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0030_R21_FLDK.06001_06001_clipped_mask.png,11821882,862,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,dbeef1572fbfc9dc04d57f699f6ad3aa7bae85cfe2cd0900f1de5cd7ee1b5dac,4184ceedcfd96cce343c8929a2a70afad7986c64b304ca9b40ceb65e5f8a9887
2020,NC_H08_20200121_0100_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0100,2020_new_clip/NC_H08_20200121_0100_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0100_R21_FLDK.06001_06001_clipped_mask.png,11938919,882,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,8c8343f552c47d87598c4e68d9dfbebc8bffbab4d2c5984e5fed5b5f84a0a58c,6d5fd9356f70fd1ae2bcf656b128833e114e357a19fca959adc904ac33061b94
2020,NC_H08_20200121_0130_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0130,2020_new_clip/NC_H08_20200121_0130_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0130_R21_FLDK.06001_06001_clipped_mask.png,12031029,860,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,5ab706bd2de43e3340df95a979f7c5592b989ec6b979ed4e800bd6dd4aa92710,be8a9f71e572058346615d39c3d1157dc240c36c53b0b76e75f6d2a4fccb842d
2020,NC_H08_20200121_0200_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0200,2020_new_clip/NC_H08_20200121_0200_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0200_R21_FLDK.06001_06001_clipped_mask.png,12037955,731,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,e8b2a7daa25068949f655d5dae3a7589f4b4567d2583abc96eed72504fb5641e,bd199845bd3f89b282e50f6d0e1e6c4b308719073c696627c207964fd11b709b
2020,NC_H08_20200121_0230_R21_FLDK.06001_06001_clipped,Himawari-8,20200121,0230,2020_new_clip/NC_H08_20200121_0230_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200121_0230_R21_FLDK.06001_06001_clipped_mask.png,12149525,475,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,6dcb60387d9718d9dc107c79f0f4021055e2179f1ffcf484d64df414e3a6ad07,44ba6defa65c2c285d909f834185898a2c9e9a7a8077eff3b76ba5585aa38487
2020,NC_H08_20200123_0230_R21_FLDK.06001_06001_clipped,Himawari-8,20200123,0230,2020_new_clip/NC_H08_20200123_0230_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200123_0230_R21_FLDK.06001_06001_clipped_mask.png,13048240,508,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,30c28e283cafb4e4b4ab3d17e2f30e5e9c68df5bc361ecac9c0ce0e6652ed784,1fa33d629c016f464385dbf239e9409b4a9996ad61be4f0b79d5f385b35d1075
2020,NC_H08_20200123_0300_R21_FLDK.06001_06001_clipped,Himawari-8,20200123,0300,2020_new_clip/NC_H08_20200123_0300_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200123_0300_R21_FLDK.06001_06001_clipped_mask.png,13022038,526,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,03d41a00f15debe967ecf432b976179ac9d4037bf7add2f897d9d332806e83d7,a28d37bee3d8b45753f9aecbb8a0b048ac7ec63de2bb8c03dcfa59966b3f6cef
2020,NC_H08_20200123_0330_R21_FLDK.06001_06001_clipped,Himawari-8,20200123,0330,2020_new_clip/NC_H08_20200123_0330_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200123_0330_R21_FLDK.06001_06001_clipped_mask.png,12827193,714,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,362a079ffb69aeb0b13c7e21b0532142bd798f109f6d054ba77d83523fc68c28,66b1a89780f91cf2852db407c93c8442fa8a1c77bdf1f64a99e50880bf01f68d
2020,NC_H08_20200123_0400_R21_FLDK.06001_06001_clipped,Himawari-8,20200123,0400,2020_new_clip/NC_H08_20200123_0400_R21_FLDK.06001_06001_clipped.tif,mask/NC_H08_20200123_0400_R21_FLDK.06001_06001_clipped_mask.png,12617730,662,450,450,20,float32,LZW,0.02,0.02,119,36,4326,450,450,L,0;255,paired,dcc7ee28f1beb8863b297531bbd7b605cb8a19578a1564dbeec95f7c0d89e67b,bb34a229c377c369bd66cd55ef3a519c2057b5f4aebf2a7681b95826a611ceb4
